t,H-Concentration,OH-Concentration,O2-Concentration,HO2-Concentration,C-Concentration,CH-Concentration,CH3-Concentration,C3H7-Concentration,H-Reaction_rate,OH-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,C-Reaction_rate,CH-Reaction_rate,CH3-Reaction_rate,C3H7-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32772981154253.805,-9689747511857.596,-68322246352464.305,73167120108393.11,66179384791971.23,-102735386031906.0,-118218455918096.69,51591485719343.82,1000.0
1e-16,1.0032582150551925,0.9990319630772787,0.9932254967278927,1.0072585217334677,1.0065591617291567,0.9898621675247643,0.9883583513026668,1.005073439814471,32392446929620.45,-9670996525349.578,-67171449871615.6,72006948134290.39,65007505236350.15,-100033397531777.75,-114633124544171.86,49886338946533.15,1000.0
2e-16,1.0064789091191224,0.9980657985798816,0.9865643554920908,1.0144027452179685,1.013002864876259,0.9799888338666901,0.9770665154248246,1.0099805952774088,32022697984737.2,-9652299915716.4,-66055454434400.375,70881604392258.58,63870665605238.92,-97446676626332.4,-111224027326247.66,48266679449113.72,1000.0
3e-16,1.0096630631722239,0.9971015014246726,0.980013406458697,1.0214358428289667,1.0193343013418443,0.970369614175317,0.9661086719082908,1.0147291375248495,31663253377539.77,-9633657479558.34,-64972764015123.266,69789592754902.44,62767364769084.69,-94968375926392.28,-107979758140313.95,46726923099207.18,1000.0
4e-16,1.0128118115118507,0.9961390655922129,0.9735689783575722,1.0283614888463215,1.0255571682419964,0.960992586132159,0.955466712185724,1.0193278444800404,31313561724066.484,-9615068995983.717,-63921786072880.945,68729320570872.805,61696003455634.695,-92591624745283.94,-104888957344279.78,45261526211309.67,1000.0
5e-16,1.015926067481791,0.9951784858792897,0.9672280959527396,1.035182661107616,1.031674462427841,0.9518483309561845,0.9451264587067655,1.0237835826364032,30973191660166.535,-9596534260493.578,-62901180055486.45,67699447185733.24,60655236183477.39,-90310559157715.9,-101941948551370.27,43865757175202.93,1000.0
6.000000000000001e-16,1.019006734060746,0.994219756961778,0.960987812284203,1.0419023092349082,1.0376891526352938,0.9429276380052583,0.9350741098478936,1.0281030331705183,30641723034168.684,-9578053066847.412,-61909654767250.195,66698681300673.9,59643766736564.71,-88119673102912.73,-99129689529841.73,42535198632063.25,1000.0
7.000000000000001e-16,1.022054683984683,0.9932628734941956,0.9548452724464509,1.0485232908064517,1.0436041152639202,0.9342217125674687,0.9252965561306603,1.0322925386793171,30318756607735.04,-9559625208988.818,-60945984354349.53,65725796958843.94,58660364340483.8,-86013845651951.47,-96443808648594.88,41265763320020.84,1000.0
8.000000000000002e-16,1.0250707474707936,0.9923078301539067,0.9487977530726184,1.0550483318504287,1.0494220946497272,0.9257223058898553,0.9157815788410607,1.036358006873119,30003920152767.04,-9541250481895.627,-60009017039828.21,64779642280776.02,57703872521260.484,-83988346282543.53,-93876606668146.53,40053693476476.53,1000.0
9.000000000000002e-16,1.0280557253506635,0.9913546216357175,0.9428426217638001,1.0614800674183416,1.0551457437741243,0.9174215319205282,0.9065175454434056,1.0403050596206473,29696859183435.15,-9522928681472.064,-59097658302847.766,63859122643583.8,56773192175894.266,-82038764669775.66,-91420936442241.7,38895502978707.695,1000.0
