t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,HO2-Concentration,H2O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,H2O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,622261584053619.1,-710493349443821.8,-728739230036364.0,29788282548542.234,135132846275862.98,816829126772530.4,-106193908674672.39,-58585351495696.586,1500.0
1e-16,1.0563019934512128,0.9341843234240267,0.9340498150629445,1.0031412283432157,1.0128794179241725,1.0759228551912217,0.9894338342553456,0.9940865323478613,508313336773333.44,-609702330852714.5,-595714165896020.2,32907516117300.383,122974790967466.94,705959783538653.4,-105114076249191.28,-59624854398828.305,1500.0
2e-16,1.1024413489110472,0.8773927831233351,0.8799232021225207,1.0065589807498891,1.0246833554322725,1.1419350381662758,0.9789798063872092,0.9880854851074506,417828745545207.9,-529002020880115.7,-490834290465842.2,35348663052903.43,113481494149735.22,617482441327367.5,-103955295973869.3,-60349736755386.85,1500.0
3e-16,1.1404522414283542,0.8278831452759532,0.8351844952295293,1.0101934476922683,1.0356409812532734,1.1999761419644457,0.9686446888613175,0.9820248582948585,344924030919060.06,-463363312689888.56,-406963142729529.56,37263353928387.14,105951685724523.61,545752350991461.56,-102738964792676.58,-60826001351337.734,1500.0
4e-16,1.171872948862399,0.7843370517209839,0.797998586456821,1.0139978234879288,1.045922817121541,1.2515104855241925,0.9584333901904258,0.9759268966357082,285446602577020.06,-409236726780340.94,-339080200926090.94,38762625383728.42,99898471784934.69,486794152190634.2,-101481252471515.73,-61103671758369.86,1500.0
5e-16,1.1978881564737855,0.7457383703554246,0.7669572444573661,1.0179349202847596,1.0556582316701197,1.2976642288132563,0.9483494007314849,0.9698094472138031,236397340439390.34,-364058945589260.1,-283570462124420.94,39929561997949.33,94975602839001.75,437742788516192.2,-100194564168833.48,-61221321910019.055,1500.0
6.000000000000001e-16,1.219425356163452,0.711290773408085,0.7409618114326193,1.0219747948603746,1.0649471131116433,1.339318083569621,0.938395118448515,0.9636869490056897,195565427973290.66,-325940781364771.8,-237776648910645.25,40827535495998.3,90931503336839.22,396490662193471.3,-98888540720044.23,-61209158004138.09,1500.0
7.000000000000001e-16,1.2372193811883767,0.6803625409090057,0.7191449153212292,1.026093110769597,1.0738675598538183,1.3771692692954032,0.9285720830815746,0.957571139580995,161294155186253.9,-293466917743656.5,-199712758818398.88,41505596750516.25,87580172688515.0,361461590462465.5,-97570741805473.02,-61091096720222.31,1500.0
8.000000000000002e-16,1.2518604087439342,0.6524455126334745,0.7008123827360921,1.0302698794397882,1.0824815282629896,1.4117775108498078,0.918881161553407,0.9514716157805063,132321293698579.5,-265559440780576.84,-167869383282212.84,42002304116021.63,84781628433587.4,331457061524788.5,-96247151904790.0,-60886311805397.38,1500.0
9.000000000000002e-16,1.263827444891367,0.6271264462698265,0.6854028366774364,1.0344885577246652,1.0908387118206742,1.443597070206247,0.909322685479048,0.945396246930736,107671885125530.39,-241386123928183.6,-141083277162429.56,42348344724252.94,82428941391046.53,305553089820591.9,-94922539747917.36,-60610320222891.21,1500.0
1.0000000000000003e-15,1.273513371236266,0.6040655972542168,0.6724575476149302,1.0387353531122498,1.0989794064338227,1.4730006634721988,0.899896559695971,0.9393515011803448,86582973518520.38,-220296041869083.9,-118446025775557.5,42568434293111.5,80439252021377.7,283027931898932.9,-93600727802660.72,-60275796284640.29,1500.0
1.1000000000000003e-15,1.2812426637688148,0.5829815678028212,0.661599169673257,1.0429987151464568,1.1069365046933797,1.5002963434265089,0.890602344099266,0.9333426913894957,68451487204257.95,-201774947184608.9,-99240960427552.5,42682649079364.49,78747635044916.52,263312077780160.88,-92284787967809.39,-59893153528729.055,1500.0
1.2000000000000004e-15,1.2872861140057,0.5636387249112814,0.6525140903909449,1.0472689058309201,1.1147371450245351,1.5257415112428623,0.8814393232950657,0.9273741852986906,52794967436655.03,-185411689957714.47,-82895733094752.25,42707480996697.45,77302526185761.73,245950672738810.34,-90977199904094.53,-59471024401363.305,1500.0
1.3000000000000004e-15,1.2918711150427762,0.5458384086438233,0.6449401415027666,1.0515376890923815,1.1224038415830964,1.549552683789222,0.8724065585883648,0.9214495617575696,39224109506979.72,-170874703766631.6,-68949241011233.875,42656576789230.19,76062572185445.64,230577252497030.75,-89679965956544.16,-59016600244276.67,1500.0
1.4000000000000005e-15,1.29518984843234,0.5294119392146676,0.6386568321897957,1.0557980775450766,1.129955376640705,1.5719132550787782,0.8635029307909705,0.9155717401076666,27422110997196.773,-157894328060005.97,-57026805963572.26,42541311425271.9,74994289178640.86,216894026680867.38,-88394702275347.38,-58535901983051.336,1500.0
1.5000000000000005e-15,1.2974057986095475,0.514215057725538,0.6334775879367249,1.0600441256690953,1.137407505780452,1.5929796612629952,0.8547271754766591,0.909743087538988,17129038212309.254,-146249431344567.22,-46821423569562.23,42371234513862.88,74070309461785.16,204656979603722.88,-87122711161058.33,-58033995716492.38,1500.0
1.6000000000000006e-15,1.2986588579452172,0.5001235700590567,0.629243679646005,1.064270764775931,1.1447735048526424,1.612886205398897,0.8460779114928679,0.9039655058293825,8130007245023.523,-135757297865704.28,-38079618533947.055,42154414984594.74,73268071940414.78,193664622571255.97,-85865038122179.83,-57515162219457.87,1500.0
1.7000000000000006e-15,1.2990690859569092,0.4870301434551912,0.6258197652286507,1.068473676200564,1.1520645670012128,1.631748599355976,0.8375536631921038,0.8982404996093926,246471787939.3203,-126266161302846.83,-30591047551873.758,41897695735757.625,72568873807326.72,183749706923941.62,-84622515478255.14,-56983023921989.56,1500.0
1.8000000000000005e-15,1.2987404041651434,0.4748411598941495,0.6230894968924361,1.0726491681294787,1.1592901986241724,1.6496674487821048,0.82915288158991,0.8925692419226059,-6671304421490.277,-117648784047091.56,-24179512101258.54,41606929877068.06,71957045237194.53,174772093249831.06,-83395801882730.17,-56440665911523.11,1500.0
1.9000000000000005e-15,1.2977628671719212,0.4634747852172782,0.6209528379729525,1.076794094016165,1.1664584544335983,1.6667303827632693,0.8208739588940288,0.8869526195307869,-12749306812738.332,-109798116141441.8,-18696950306558.508,41287132567705.72,71419414938065.53,166613949520402.4,-82185409638624.38,-55890714126810.64,1500.0
2.0000000000000005e-15,1.2962149898797266,0.45285899056811935,0.6193233028874608,1.0809057714869241,1.1735761838111203,1.6830142417655505,0.8127152425654702,0.8813912770356285,-18094299556475.484,-102623431013733.05,-14018049174602.008,40942627508850.38,70944824283585.25,159175470415942.62,-80991730073341.7,-55335412390226.03,1500.0
2.1000000000000006e-15,1.2941654337183695,0.44293012134724896,0.6181259641537818,1.0849819204635984,1.1806492061350353,1.6985866566192251,0.8046750461948977,0.8758856513678434,-22797171961800.23,-96047463431022.14,-10036278093892.877,40577154369001.57,70523776710512.31,152371714925171.72,-79815052932606.1,-54776679585364.29,1500.0
2.2000000000000006e-15,1.2916743882625996,0.4336317269893838,0.6172958185333247,1.0890206113758638,1.1876824552003664,1.713507340368174,0.796751658488957,0.8704360007813307,-26935607126392.113,-90004127889181.9,-6660730537534.709,40193955975360.766,70148160728779.33,146130087871493.78,-78655582300696.92,-54216156721828.21,1500.0
2.3000000000000007e-15,1.2887948993264016,0.42491343721717534,0.6167762135013625,1.093020215434575,1.1946801197595105,1.7278293304996994,0.7889433517384831,0.8650424325227922,-30576427972461.508,-84436522333921.06,-3813342430549.8477,39795859068726.86,69811002571940.17,140388132997008.3,-77513450923163.16,-53655250977579.79,1500.0
2.4000000000000007e-15,1.2855737760520958,0.4167301960418779,0.616517776211801,1.096979368870758,1.2016457379006154,1.7415998338490108,0.7812483879543226,0.8597049231195184,-33777280948523.566,-79295488623738.75,-1426906623008.998,39385330894247.12,69506295355300.625,135091947849261.53,-76388730879513.0,-53095167024024.96,1500.0
2.5000000000000008e-15,1.2820524492661205,0.4090415376665576,0.6164773975027236,1.1008969392525647,1.2085822877933508,1.754861026694598,0.7736650245088413,0.8544233373152434,-36588114136395.67,-74538354261971.08,556673588659.4941,38964531131703.83,69228846682695.28,130194796091674.22,-75281443111670.1,-52536935984695.984,1500.0
2.600000000000001e-15,1.2782677079477676,0.40181096632822016,0.6166173599918698,1.1047719959639233,1.2154922658565308,1.767650740198384,0.7661915190071508,0.8491974447061538,-39052402190940.0,-70127891448425.83,2187831728839.8389,38535355923112.06,68974152255241.91,125655959428313.7,-74191565497675.58,-51981440198466.08,1500.0
2.700000000000001e-15,1.2742522836239747,0.3950054654087857,0.6169046461819842,1.1086037860513256,1.222377749058632,1.780003003093492,0.7588261331894823,0.8440269333923237,-41208114457281.99,-66031493882707.734,3510479686721.382,38099472877459.36,68738297355631.6,121439830972576.53,-73119039409177.0,-51429433143222.17,1500.0
2.800000000000001e-15,1.2700353299112148,0.3885950957547536,0.6173103701011721,1.1123917138601576,1.2292404466013322,1.791948486178729,0.751567136120645,0.8389114214719962,-43088498836693.0,-62220510464521.3,4562930927078.357,37658349740138.7,68517877730551.52,117515181995739.06,-72063775152820.9,-50881555939472.46,1500.0
2.900000000000001e-15,1.2656428332121432,0.38255265242373493,0.6178092901652014,1.1161353232048192,1.2360817445771413,1.8035148824356904,0.7444128069038013,0.8338504670774685,-44722735439586.11,-58669690579240.03,5378670346721.638,37213278761293.914,68309933589102.8,113854551429846.3,-71025656608348.05,-50338351499790.44,1500.0
3.000000000000001e-15,1.2610981420359872,0.3768532194785641,0.6183791809705889,1.1198342760890014,1.2429027633008722,1.814727400026836,0.7373614379826199,0.8288435801155303,-46136665194896.75,-55356573978143.586,5987222510884.917,36765406201393.32,68111869454265.5,110433568420947.31,-70004546201595.66,-49800281212855.09,1500.0
3.100000000000001e-15,1.2564220924506804,0.37147406946558464,0.6190006835294074,1.123488344868936,1.249704372365778,1.825608874527283,0.7304113360341735,0.8238902267581574,-47353062510791.45,-52261253639195.8,6414463674331.035,36315741220726.484,67921432544994.69,107230696661858.36,-69000287208864.734,-49267730743058.59,1500.0
3.200000000000001e-15,1.251633440563582,0.3663942995022137,0.6196567924993733,1.1270973947555718,1.2564872373601077,1.8361801716573436,0.7235608246179267,0.8189898390438812,-48392196064681.73,-49365908850626.22,6683292416336.089,35865179524134.414,67736649515384.75,104226714495747.11,-68012707641896.14,-48741023394398.27,1500.0
3.300000000000001e-15,1.2467489709687793,0.3615947444196977,0.6203327255660178,1.130661377207591,1.2632518336615466,1.8464602849169436,0.716808244791917,0.8141418184675073,-49272032496140.26,-46654629813263.83,6813864253754.328,35414510587652.66,67555809376484.7,101404524942334.27,-67041622015754.95,-48220424835066.92,1500.0
3.4000000000000012e-15,1.241783816378324,0.35705770840281204,0.621015544614666,1.1341803165196043,1.2699984811866685,1.8564666325863874,0.7101519570286077,0.8093455432829305,-50008636858179.766,-44113085476007.2,6824071448717.115,34964435000566.902,67377417742515.83,98748785274494.45,-66086834187511.84,-47706152944595.47,1500.0
3.5000000000000013e-15,1.2367515497770392,0.35276689080336004,0.6216940446018808,1.137654304368875,1.2767273563029335,1.8662151411962211,0.7035903416219145,0.8046003713277761,-50616326100707.48,-41728392675400.05,6729721006944.699,34515570332304.0,67200183205262.32,96245764583437.95,-65148138722313.02,-47198381629528.41,1500.0
3.600000000000001e-15,1.2316644196103723,0.34870719002408973,0.6223584736338623,1.1410834893669655,1.2834385183873747,1.8757204633577946,0.6971217999919933,0.7999056456275475,-51107954594473.0,-39488880438313.58,6544877934525.746,34068463820005.547,67022984052722.73,93883080236763.12,-64225322936951.86,-46697248074278.72,1500.0
3.700000000000001e-15,1.2265334428376438,0.34486462749709107,0.6230004213621826,1.1444680720003142,1.2901319214648133,1.8849960628855533,0.690744755034882,0.7952606969175202,-51495046201404.59,-37383979122299.95,6282020626408.215,33623597892582.586,66844855113535.71,91649575931819.44,-63318168044042.62,-46202856196598.82,1500.0
3.800000000000001e-15,1.2213685505698213,0.3412262261313084,0.6236126464494115,1.1478082978629667,1.296807430553707,1.8940543494403146,0.6844576518375182,0.7906648471549527,-51787971003279.66,-35404074519590.26,5952252730767.856,33181398130374.598,66664967534632.516,89535158912680.84,-62426450513669.375,-45715281271916.53,1500.0
3.900000000000001e-15,1.216178681670606,0.33777993324464917,0.6241889646222758,1.1511044528105714,1.303464833170723,1.9029067646168347,0.6782589579841473,0.7861174118801929,-51996063249282.05,-33540410267344.76,5565443891497.92,32742238548951.992,66482615776506.98,87530691470006.53,-61549943047539.4,-45234573122797.195,1500.0
4.000000000000001e-15,1.2109718879197446,0.33451453337583476,0.6247241234131296,1.15435685777764,1.3101038518162693,1.9115638789921163,0.6721471639312206,0.7816177027740451,-52127745319736.19,-31784986121231.758,5130379011336.74,32306447343094.785,66297203063177.82,85627877048748.05,-60688415546633.125,-44760759478756.31,1500.0
4.100000000000001e-15,1.2057554270453743,0.3314195710815569,0.6252136915499078,1.1575658641312272,1.316724155015335,1.9200354779696045,0.6661207833023921,0.7771650299046026,-52190635015692.18,-30130470213306.84,4654887785167.643,31874311945881.39,66108228567760.79,83819161804888.08,-59841635952637.95,-44293848922060.94,1500.0
4.200000000000001e-15,1.2005358314693804,0.3284852936958947,0.6256539775745581,1.160731850138247,1.3233253655142947,1.9283306252848478,0.6601783529945737,0.7727587033282038,-52191625342384.36,-28570133792116.125,4145940771974.969,31446082830346.95,65915278044215.984,82097661534163.53,-59009370913685.41,-43833833132515.53,1500.0
4.300000000000001e-15,1.195318976813472,0.3257025943551838,0.6260419486000918,1.1638552174368464,1.3299070685440906,1.9364577263015497,0.6543184332729665,0.7683980346757999,-52136961093325.016,-27097788968044.74,3609742243106.716,31021977235534.32,65718014440519.44,80457091591667.88,-58191386397027.94,-43380689052430.625,1500.0
