t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,HO2-Concentration,H2O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,H2O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7186138640939391.0,-6966219443902257.0,-7885318629010414.0,29228081746101.273,420804627541686.44,7376854630155475.0,-122090384435411.75,-39397523034570.555,1000.0
1e-16,1.4038888903514386,0.5998038618187073,0.5595525868951104,1.0038683402161916,1.0251290901509211,1.4245988650282841,0.9877530690594687,0.9954052964798775,2240543308786180.2,-2307251072412980.0,-2419883422311683.0,44872719905369.72,156302437341561.94,2458111252129230.5,-122380245906998.56,-50314977530681.45,1000.0
2e-16,1.5560980419176296,0.436896441581816,0.3964717428182246,1.0086603842219966,1.0371149633207082,1.599033514557525,0.9755703029854653,0.9901546085966356,1019802107766396.6,-1154404895330487.8,-1080407507007129.2,50187224503416.81,94833737797989.81,1245286708232190.5,-121158226562672.97,-54139149399703.945,1000.0
3e-16,1.6311304111585998,0.34700532368030207,0.3178082732985101,1.013809979439438,1.0453056218251136,1.6967575607608418,0.9635355466606035,0.9846472831765922,543517563918187.94,-702410445433379.6,-561813964935752.25,52506871412280.625,72175539708194.62,771305976126717.1,-119494660369110.62,-55786880427137.87,1000.0
4e-16,1.6726280927654986,0.28904925357502004,0.27550861296859064,1.0191206659834304,1.0519446159585324,1.761043968945121,0.9516768492256296,0.9790279405781784,310859775174366.2,-479684380635126.0,-310985803047301.8,53564159772425.66,61822313788844.016,538578450088701.8,-117662111034216.05,-56492404107693.89,1000.0
5e-16,1.6966366029193964,0.24793391293733189,0.25195387725241136,1.024501707706987,1.0578355885574922,1.807768179943543,0.9400053340664434,0.9733647966163965,180684121875519.0,-353306674085812.0,-172579071080217.47,53978362289075.56,56560776836840.39,407134973438034.1,-115761649499745.75,-56710839773693.836,1000.0
6.000000000000001e-16,1.7104128453825413,0.21684119118992207,0.23918594959754658,1.0299042157595186,1.0633387369284137,1.8440967909916595,0.9285252406567502,0.9676950294936499,100807578458102.61,-274142117119436.7,-89323996233085.98,54024785454580.14,53801385527157.16,325319757156655.6,-113838862299454.5,-56648530944518.4,1000.0
7.000000000000001e-16,1.7177004386547783,0.19226044397806435,0.23309871220036119,1.0352991484770524,1.0686416695579157,1.8737212187588448,0.9172375236710428,0.9620408447019424,48356191410042.13,-220663900335663.8,-36169523198047.98,53843788914469.43,52433462884688.67,270529008290029.97,-111916884120726.44,-56412143844791.945,1000.0
8.000000000000002e-16,1.7206171298719244,0.1722105112714356,0.23136562371494787,1.0406680498406204,1.0738535055885288,1.8987274074013885,0.9061414090674803,0.9564163632436757,12061944854921.434,-182278851531110.38,-788897461344.0101,53514076643213.25,51915705996185.06,231646515651938.5,-110008375635233.67,-56062118518570.195,1000.0
9.000000000000002e-16,1.7204473142762298,0.15549308542238496,0.23257177326263484,1.045998604954818,1.079043302852887,1.920379793879885,0.8952351538565959,0.9508309714945664,-14113725823279.723,-153320579953549.06,23425346658206.04,53083039708397.94,51956605525106.62,202725074970811.6,-108120610869451.36,-55635150216242.04,1000.0
1.0000000000000003e-15,1.718015241707739,0.1413411022594158,0.23580613202389916,1.0512822985693289,1.0842576851625518,1.9394899858627146,0.8845164500241014,0.9452911043902509,-33617471696976.004,-130564656918379.0,40252467023759.54,52580893868918.8,52385345550733.92,180376106551295.66,-106257894592616.77,-55154789786736.086,1000.0
1.1000000000000003e-15,1.7138764516315166,0.1292383780540367,0.24045287144387228,1.0565130947363681,1.089529657766324,1.9566056340665527,0.8739826526834328,0.9398012596178984,-48515192261377.72,-112087540080860.94,51968333485292.836,52027870740518.95,53093849637285.59,162572374590042.94,-104422810242279.16,-54636885868622.55,1000.0
1.2000000000000004e-15,1.708422275457279,0.11882115558648822,0.2460776807326315,1.0616866527643163,1.0948833072376916,1.9721134090055192,0.8636309146260748,0.9343646045900008,-60094892357343.8,-96698528321357.64,60003477802222.5,51438117764523.02,54008599704776.72,148052687717313.7,-102616904236790.8,-54092558073343.69,1000.0
1.3000000000000004e-15,1.7019400163892184,0.10982141589383732,0.25236241967420614,1.066799840245449,1.100336451162624,1.986298231782811,0.8534582685832787,0.9289833562685769,-69187831855162.27,-83637076746458.73,65292884511026.336,50821931807371.94,55075992331013.08,136005090739048.84,-100841080641044.23,-53529910145794.93,1000.0
1.4000000000000005e-15,1.6946488740523666,0.10203305614866713,0.2590661612793104,1.0718504193346217,1.1059021957980477,1.9993785867753406,0.8434616788203078,0.9236590277913395,-76348804208729.84,-72402765528871.19,68471824752827.07,50187087187872.08,56254374817759.61,125889173671369.4,-99095836829093.67,-52955053863133.484,1000.0
1.5000000000000005e-15,1.6867217424896725,0.0952914010132597,0.2660015526612429,1.0768368390414922,1.1115898832631699,2.0115279144759937,0.8336380738705782,0.9183925931845925,-81961029878705.33,-62656201264699.375,69989339258232.68,49539640452879.05,57509640858119.28,117332749987635.38,-97381406825399.34,-52372732588062.33,1000.0
1.6000000000000006e-15,1.6782990175101105,0.08946027083077185,0.27301980091120054,1.0817580900320802,1.1174057131736475,2.0228881358864625,0.8239843681442194,0.9131846035115082,-86300044921620.5,-54158534392048.67,70177036618475.984,48884439606332.37,58812708404148.97,110068964332011.6,-95697851576781.33,-51786718070518.41,1000.0
1.7000000000000006e-15,1.6694972055674475,0.08442397836844447,0.2800012404669716,1.0866136013599506,1.123353167309789,2.033578060549496,0.8144974761296994,0.9080352702482023,-89572727045325.56,-46734360493469.58,69290779036719.9,48225443077202.17,60138149392996.45,103897892151702.81,-94045115307860.8,-51200060811965.4,1000.0
1.8000000000000005e-15,1.6604145348992607,0.0800821810443045,0.28684908914413976,1.0914031621398046,1.129433335733426,2.0436988458228713,0.8051743222222467,0.9029445289939468,-91941866035133.08,-40248262838952.086,67536693077012.195,47565928727682.7,61463444376840.65,98662380179315.66,-92423061722606.23,-50615255764159.8,1000.0
1.9000000000000005e-15,1.6511344680311184,0.07634674183883103,0.2934854143023189,1.096126861384924,1.1356451850267657,2.0533373932735333,0.7960118474418328,0.8979120887006761,-93541054486176.72,-34590487478129.805,65086689526011.91,46908626832291.16,62768653259889.0,94233418174536.78,-90831496432649.16,-50034349395773.18,1000.0
2.0000000000000005e-15,1.6417281726248039,0.07313959867089888,0.29984816989943064,1.100785037631525,1.1419858109170133,2.0625687228011595,0.7870070145316472,0.8929374729235217,-94484154411128.9,-29667805682752.312,62088229923631.14,46255814463848.81,64036255653681.39,90500858782548.4,-89270181712094.42,-49459017017734.09,1000.0
2.1000000000000006e-15,1.6322561728821403,0.0703914226320954,0.3058890810695057,1.1053782372815348,1.1484506759710487,2.0714575445067163,0.778156811770729,0.8880200538862296,-94870768674238.69,-25398197011199.21,58669860262209.41,45609380070480.516,65251113956506.14,87368074059626.69,-87738845684825.67,-48890616978559.19,1000.0
2.2000000000000006e-15,1.6227695959645174,0.06804067148013243,0.31157193200767563,1.1099071784506298,1.1550338476818982,2.0800594365072476,0.7694582560530455,0.8831590818548536,-94789420941267.78,-21707773013696.957,54944409129615.48,44970872796530.9,66400460173555.266,84748873055402.16,-86237188271758.08,-48330232928380.96,1000.0
2.3000000000000007e-15,1.6133112236667118,0.06603282916713445,0.31687105230408535,1.1143727183947372,1.1617282344058824,2.088421835059923,0.7609083955750859,0.8783537114264396,-94319439699855.9,-18529006118308.68,51010938477368.69,44341543970535.234,67473859099581.336,82565699413141.06,-84764885367177.56,-47778709775284.18,1000.0
