t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,HO2-Concentration,H2O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,H2O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.035528033518704e+18,-5.926660643795707e+18,-6.25326135030355e+18,-731330573647.6785,1.0886738972299651e+17,6.03552730218813e+18,0.0005078859579798427,0.0,500.0
1e-16,1.9689833143783042,0.04650818487124296,3.569383345879338e-05,0.9999989966445739,0.015491499249544719,0.968982311022876,7.114142300459247e-23,7.757833681427274e-34,16408328845.590384,-16253587739.648989,13326169.379467268,-8365568613.426321,154741105.94139576,8042760232.1640625,-1.1223617112826164e-08,7.696329332830963e-18,500.0
2e-16,1.96898495517153,0.046506559553435856,3.569513999730221e-05,0.9999981601192732,0.015491514724963374,0.968983115290801,7.003745515562142e-23,1.5302241974767779e-33,16407967720.770405,-16253214204.27934,13063611.264838833,-8365269182.508686,154753516.49106443,8042698538.261719,-1.1049015749606429e-08,7.552117597820855e-18,500.0
3e-16,1.968986595902599,0.04650493429903881,3.5696445677194536e-05,0.9999973236242268,0.015491530201635302,0.9689839195268236,6.895084167653202e-23,2.2703395886965462e-33,16407354269.993402,-16252588350.255632,13053418.013956387,-8364969763.741447,154765919.737769,8042384506.251953,-1.0877159034778431e-08,7.410252624364178e-18,500.0
4e-16,1.9689882361878621,0.04650330949931916,3.569775132978052e-05,0.9999964873432253,0.015491545687178868,0.9689847235310854,6.796933176629885e-23,2.9242010753820834e-33,16406810233.398623,-16252031910.527737,12973978.965444405,-8364670429.05292,154778322.8708862,8042139804.345703,-1.0721925659836804e-08,7.282583215999592e-18,500.0
5e-16,1.9689898762204274,0.04650168495732616,3.569905697794653e-05,0.9999956511835464,0.015491561177751084,0.9689855274039718,6.704695834479966e-23,3.5295464217177444e-33,16406297555.13275,-16251506828.934294,12863276.935056465,-8364371142.23236,154790726.19845626,8041926412.900391,-1.0576045348740583e-08,7.162900517022784e-18,500.0
6.000000000000001e-16,1.9689915162529925,0.046500060415333146,3.5700362626112535e-05,0.9999948150238674,0.0154915766683233,0.9689863312768581,6.612458492330048e-23,4.134891768053406e-33,16405759259.840876,-16250956129.944452,12778192.157400744,-8364071855.895563,154803129.89642477,8041687403.9453125,-1.0430164894261265e-08,7.043217954608623e-18,500.0
7.000000000000001e-16,1.9689931562855578,0.046498435873340134,3.570166827427854e-05,0.9999939788641886,0.015491592158895515,0.9689871351497444,6.520221150180129e-23,4.740237114389068e-33,16405195347.517141,-16250379813.55235,12718724.638338344,-8363772570.042531,154815533.96479183,8041422777.474609,-1.0284284296398844e-08,6.923535528757111e-18,500.0
8.000000000000002e-16,1.9689947963181231,0.04649681133134713,3.5702973922444554e-05,0.9999931427045097,0.015491607649467729,0.9689879390226307,6.42798380803021e-23,5.34558246072473e-33,16404605818.16936,-16249777879.765802,12684874.37005593,-8363473284.6732645,154827938.40355742,8041132533.496094,-1.0138403555153329e-08,6.803853239468245e-18,500.0
9.000000000000002e-16,1.9689964363506882,0.04649518678935412,3.570427957061056e-05,0.9999923065448307,0.015491623140039944,0.9689887428955171,6.335746465880292e-23,5.950927807060391e-33,16403990671.793621,-16249150328.5809,12676641.35645886,-8363173999.787761,154840343.21272147,8040816672.005859,-9.992522670524713e-09,6.684171086742027e-18,500.0
1.0000000000000003e-15,1.9689980763832535,0.04649356224736111,3.570558521877657e-05,0.9999914703851518,0.01549163863061216,0.9689895467684033,6.243509123730374e-23,6.556273153396053e-33,16403349908.387976,-16248497159.995693,12694025.599502044,-8362874715.3860235,154852748.39228404,8040475193.001953,-9.846641642512998e-09,6.564489070578456e-18,500.0
1.1000000000000003e-15,1.9689997164158186,0.0464919377053681,3.570689086694257e-05,0.999990634225473,0.015491654121184376,0.9689903506412897,6.151271781580455e-23,7.161618499731714e-33,16402683527.956331,-16247818374.014088,12737027.095280366,-8362575431.468052,154865153.94224507,8040108096.488281,-9.700760471118182e-09,6.4448071909775316e-18,500.0
1.2000000000000004e-15,1.969001356448384,0.04649031316337509,3.5708196515108586e-05,0.999989798065794,0.01549166961175659,0.968991154514176,6.059034439430536e-23,7.766963846067377e-33,16401991530.496733,-16247113970.634129,12805645.845741823,-8362276148.033842,154877559.8626047,8039715382.462891,-9.55487915634027e-09,6.325125447939254e-18,500.0
