t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,HO2-Concentration,H2O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,H2O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7332140971239743.0,-6956275368402046.0,-8075187896357835.0,-4342140254714.726,375865602789824.94,7327798830937156.0,47872.0953288318,0.0,1000.0
1e-16,1.417823874137701,0.6028058889153025,0.541469357320967,0.9997236212189592,0.020629763050410373,0.41754749535406416,2.594945633868596e-12,2.641787822381439e-19,2376370978930671.5,-2264977907834959.0,-2595489764092896.0,-1833678507765.4224,111393071082042.5,2374537300409236.5,13669.9354621012,0.004203533736468201,1000.0
2e-16,1.5833967192080907,0.4447397365347649,0.3611704536320905,0.9995799578387985,0.028136455739366198,0.5829766770433967,3.49135868895753e-12,7.491281963141468e-19,1151274687589670.5,-1101137125511709.5,-1249248791512121.5,-1150510113868.8088,50137562072227.07,1150124177470068.0,5733.995059741767,0.005298251800491748,1000.0
3e-16,1.6713620484518728,0.36049923671001816,0.26595292755683997,0.999481226835701,0.03186128515799475,0.6708432752836747,3.897787924973165e-12,1.3016295803252293e-18,670722395117407.5,-643200289102734.1,-724049767670558.4,-858419736695.5146,27522106011868.402,669863975377907.1,2804.995594284283,0.0056890036687294405,1000.0
4e-16,1.7253793595560971,0.30864942289007086,0.20775535349766536,0.9994038610290017,0.03402878244206685,0.7247832205809946,4.1027270448040154e-12,1.878832733388209e-18,434122477546680.7,-417110201749821.3,-466740712343219.25,-703158397866.2367,17012275795411.637,433419319147366.8,1447.715298358348,0.0058289491965838255,1000.0
5e-16,1.761540374989644,0.273882395487901,0.16893690775841644,0.9993385881505283,0.035422770473338513,0.760878963135963,4.2080103706048535e-12,2.4637763290393853e-18,300574510867482.2,-289175031842459.94,-322154697059946.44,-609385928426.541,11399479024295.072,299965124938328.44,727.1686511812919,0.005857246302600123,1000.0
6.000000000000001e-16,1.7871644977047363,0.2492201082923418,0.14150444084127872,0.999280924732043,0.03638460599282154,0.78644542243252,4.2580431822053204e-12,3.0484234177314195e-18,217983634174892.28,-209876286790355.6,-233102628444148.28,-547850249754.3796,8107347384228.027,217435783924829.28,308.6550217504056,0.005828913062689352,1000.0
7.000000000000001e-16,1.806061232858347,0.23102329741945582,0.12131290839594605,0.9992283990971877,0.03708453027352931,0.8052896319512585,4.274987446972753e-12,3.628532004120307e-18,163464432841023.84,-157423441995425.4,-174536251419381.84,-505081556394.54553,6040990845548.666,162959351284579.56,49.741897569099976,0.005769395797105049,1000.0
8.000000000000002e-16,1.8204099126911235,0.21720600184388886,0.10599922075886258,0.9991795187421294,0.03761591453074305,0.8195894314289807,4.271000088903056e-12,4.2017057979262995e-18,125680549041627.56,-121004983191774.4,-134083486862235.4,-474096939608.1911,4675565849971.072,125206452102137.28,-117.92367445788119,0.005691795194268367,1000.0
9.000000000000002e-16,1.8315479497957936,0.20648576791231332,0.09411797435357828,0.9991333202193332,0.03803371770385525,0.8306812700108724,4.253233330879401e-12,4.7665343460241775e-18,98494621452302.89,-94758543941975.44,-105064885138901.2,-450945667143.4092,3736077510557.6396,98043675785389.69,-230.18750806338153,0.005603400422263388,1000.0
